"id","EnterpriseID","LAST","FIRST","MIDDLE","SUFFIX","DOB","GENDER","SSN","ADDRESS1","ADDRESS2","ZIP","MOTHERS_MAIDEN_NAME","MRN","CITY","STATE","PHONE","EMAIL","ALIAS","MIDINIT","M","D","Y","Weight"
"1"," 498","15484601","CLAYBROOKS","TANNA","BARBARA","","6/10/1990","F","842-84-3336","120 ALCOTT PL","12G","10475",""," 356023","BRONX","NY","860-797-1168","","","B","6","10","1990",""
"2","3472","15831958","CLAYBROOKS","TERESA","BARBARA","","6/10/1946","F","842-84-3336","120 ALCOTT PL","12G","10475",""," 356025","BRONX","NY","860-797-1168","TCLAYBROOKS@AMGGT.COM","","B","6","10","1946","0.7953054"
"3","","","","","","","","","","","","","","","","","","","","","","","",""
"4"," 388","15755715","WOLDEGIORGIS","CARLOS","MEDHANIE","","12/8/1993","M","894-64-0081","4E E 28TH ST","1215","10016",""," 300713","NEW YORK","NY","570-478-6542","","","M","12","8","1993",""
"5","3362","15986940","WOLDEGIORGIS","DANIQUE","MEDHANIE","","12/7/1993","M","894-64-0081","4 E 28TH ST","1215","10016","CORTEZ"," 300777","NEW YORK","NY","570-478-6542","DWOLDEGIORGIS@AMGGT.COM","JAMES SCOTT KINKADE","M","12","7","1993","0.7636235"
"6","","","","","","","","","","","","","","","","","","","","","","","",""
"7"," 305","15898698","EDWARDS","JOSEPH","DENNIS","","3/27/2015","M","","427 LINDEN BLVD","D6","11203","","1174351","BROOKLYN","NY","551-485-3200","","","D","3","27","2015",""
"8","3279","15966064","EDWARDS","JOHN","DENNIS","","3/27/2015","M","","427 LINDEN BLVD","D6","11203","","1174052","BROOKLYN","NY","551-485-3200","","","D","3","27","2015","0.7487546"
"9","","","","","","","","","","","","","","","","","","","","","","","",""
"10"," 320","15493174","BURGESS","SHAYLA","ROSEELLEN","","4/3/2014","F","","101-125 W 147TH ST","27I","10039","","1103940","NEW YORK","NY","551-129-6210","","","R","4","3","2014",""
"11","3294","15703065","BURGESS","LISA","ROSEELLEN","","4/3/2014","F","","101-125 W 147TH ST","27I","10039","KIRK","1103614","NEW YORK","NY","551-129-6210","LBURGESS@AMGGT.COM","","R","4","3","2014","0.7437952"
"12","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1079","15716793","GRISHKO","BABY","GIRL","","5/25/2009","F","","2695 BRIGGS AVE","B7","10458","","4884339","BRONX","NY","934-235-1683","BGRISHKO@AMGGT.COM","DONNA DAVID FIELD","G","5","25","2009",""
"14","4052","15971939","GRISHKO","BABY","GIRL","","5/25/2003","F","","2695 BRIGGS AVE","C7","10458","","4884332","BRONX","NY","934-235-1683","","","G","5","25","2003","0.7417595"
"15","","","","","","","","","","","","","","","","","","","","","","","",""
"16"," 365","15586253","WELLS","JESUS","WILLIE","II","10/2/1953","M","885-04-7664","2294 GRAND AVE","4J","10468","LEWIS","4848427","BRONX","NY","","JWELLS@AMGGT.COM","JOSE WILLIE  WELLS^^JOE WILLIE  WELLS","W","10","2","1953",""
"17","3339","16002612","WELLS","JOSE","WILLIE","","10/10/1933","M","885-04-7664","2294 GRAND AVE","4J","10468","","4848445","BRONX","NY","845-291-4128","","JOSE WILLIE WELLS","W","10","10","1933","0.7360050"
"18","","","","","","","","","","","","","","","","","","","","","","","",""
"19"," 558","15426023","BARR","DAN","M","II","5/2/1932","M","844-62-0453","1133 THIERIOT AVE","BAST","10472","","4849701","BRONX","NY","212-830-6449","DBARR@AMGGT.COM","DANIEL MAURICE  BQER^^DAN MAURICE  BQER","M","5","2","1932",""
"20","3532","15890758","BQER","DANIEL","MAURICE","","5/2/1922","M","844-62-0453","1749 TAYLOR AVE","","10460","","4849699","BRONX","NY","212-830-6449","","DANIEL MAURICE BQER","M","5","2","1922","0.7359831"
"21","","","","","","","","","","","","","","","","","","","","","","","",""
"22"," 298","15435349","ADAMS","ANGELA","EDDIE","","10/14/1934","F","808-29-4027","571 W 161ST ST","3R","10032","","4769489","NEW YORK","NY","203-671-3467","","","E","10","14","1934",""
"23","3272","15519721","ADAMS","ANGELA","EDDIE","","12/19/1963","F","","571 W 161ST ST","3R","10032","","4769486","NEW YORK","NY","203-671-3467","","","E","12","19","1963","0.7315515"
"24","","","","","","","","","","","","","","","","","","","","","","","",""
"25"," 199","15502134","ABRAHAM","JAMIE","ROBERT","","2/12/1966","M","839-42-7623","462 1ST AVE","","10016",""," 268501","NEW YORK","NY","718-343-1128","JABRAHAM@AMGGT.COM","","R","2","12","1966",""
"26","3173","16021859","ABRAHAM","DONALD","ROBERT","","2/12/1973","M","839-42-7623","462 1ST AVE","","10016",""," 268431","NEW YORK","NY","718-343-1128","","","R","2","12","1973","0.7280776"
"27","","","","","","","","","","","","","","","","","","","","","","","",""
"28"," 473","15476895","BARGER","MAVIS","D","","12/23/1956","F","898-37-0178","224 E 178TH ST","3I","10457","","4808959","BRONX","NY","347-333-1346","","","D","12","23","1956",""
"29","3447","15745860","BURCH","MAVIS","D","","12/24/1956","F","898-37-0178","234 E 178TH ST","3I","10457","","4808947","BRONX","NY","973-938-8210","","","D","12","24","1956","0.7244602"
"30","","","","","","","","","","","","","","","","","","","","","","","",""
"31"," 327","15738211","DOTSON","DANIEL","","","2/15/1988","M","815-41-1205","2287 UNIVERSITY AVE","33","10468",""," 387188","BRONX","NY","908-137-8883","DDOTSON@AMGGT.COM","","","2","15","1988",""
"32","3301","15896998","DOTSON","JUAN","GLENN","","2/15/1998","M","815-41-1205","2287 UNIVERSITY AVE","33","10468",""," 387220","BRONX","NY","908-137-8883","","","G","2","15","1998","0.7187299"
"33","","","","","","","","","","","","","","","","","","","","","","","",""
